koolhydraten,vet,kcal,product,eenheid
28, 0.4, 133 ,Cracotte ,100 gr
97, 5, 477 ,Cranberrycompote ,100 gr
20.3, 0, 81 ,Cream Cracker ,100 gr
70, 17, 465 ,Crème Fraîche ,100 gr
3, 35.9, 344 ,Croissant ,1 stuk
18, 9, 170 ,Cruesli ,100 gr
68.3, 8.2, 389 ,Curry ,100 gr
2.7, 70.2, 647 ,Custardpoeder ,100 gr
85, 0, 340 ,"Dadels, Gekonfijt ",100 gr
73, 0, 300 ,"Dadels, Vers ",100 gr
37, 1, 165 ,Danish Blue ,100 gr
1, 30, 353 ,"Dextro Energy, Table ",100 gr
91, 0, 364 ,Donut ,1 stuk
19, 15, 230 ,Doperwten ,100 gr
10, 0, 60 ,Doperwten En Wortelen ,100 gr
5.8, 0, 36 ,Drinkyoghurt ,100 gr
11.3, 0.2, 59 ,"Drop, Engelse ",100 gr
82, 2, 362 ,"Drop, Zoet ",100 gr
77, 0, 348 ,"Drop, Zout ",100 gr
75, 0, 336 ,Druiven ,100 gr
16, 0, 66 ,Druivensap ,1 glas
15, 0, 60 ,Dubbeldrank ,1 glas
11, 0, 45 ,Edammer Kaas ,100 gr
0, 22, 314 ,Eend ,100 gr
0, 16, 217 ,Eendenfilet ,100 gr
0, 6, 82 ,Ei ,1 stuk
0.3, 6, 82 ,Ei-Eiwit ,1 stuk
0, 0, 16 ,Eierkoek ,1 stuk
18, 1, 90 ,Eiersalade ,100 gr
8.3, 20.9, 246 ,Emmenthaler ,100 gr
0, 30, 390 ,Emmenthaler Kaas ,100 gr
0, 30, 390 ,Entrecôte ,100 gr
1.2, 9.1, 189 ,Erwten ,100 gr
12.6, 0.5, 81 ,Erwten En Wortelen ,100 gr
5.8, 0.4, 45 ,Evergreen ,1 stuk
13, 1.5, 73 ,Extran Eiwitdrank ,100 gr
11.5, 0.3, 98 ,Extran Energiedrank ,100 gr
40, 0, 160 ,Extran Hypotone Dors ,100 gr
4.1, 0, 16 ,Fazant ,100 gr
0, 26.2, 501 ,Feta ,100 gr
1.5, 20, 248 ,Filet American ,100 gr
2.2, 8.7, 161 ,Flensjes ,100 gr
18.4, 6.5, 157 ,Foe Yong Hai ,100 gr
7.5, 8.2, 130 ,Fonduekaas ,100 gr
2, 16.5, 235 ,Forel ,100 gr
0, 3, 99 ,"Frambozen, Op Siroop ",100 gr
23, 0, 92 ,"Frambozen, Vers ",100 gr
7, 0.3, 60 ,"Fricandeau, Varkens- ",100 gr
0, 2.9, 151 ,"Friese Nagelkaas, 20 ",100 gr
0, 13, 269 ,"Friese Nagelkaas, 40 ",100 gr
0.1, 25, 327 ,Frietjes ,100 gr
38, 16, 456 ,Frikadel ,100 gr
